"","field_1","date","time","geo_code","crime_cate","address","latitude","longitude"
"1",389632,"01/01/2015","10:00","575-03","Burglary","100 S LINCOLN AV ,URBANA,IL","40.101877","-88.219142"
"2",389657,"01/02/2015","00:01","605-08","Burglary","1400 SILVER ST ,URBANA,IL","40.091568","-88.191664"
"3",389680,"01/03/2015","00:01","577-10","Burglary","2300 E DELAWARE AVE ,URBANA,IL","40.099194","-88.195737"
"4",389805,"01/06/2015","22:45","605-08","Burglary","2000 VAWTER ST ,URBANA,IL","40.093716","-88.191751"
"5",389809,"01/07/2015","05:00","546-14","Burglary","100 N COLER AV ,URBANA,IL","40.11288","-88.215957"
"6",389865,"01/09/2015","02:00","546-14","Burglary","100 N MCCULLOUGH ST ,URBANA,IL","40.112449","-88.213088"
"7",389871,"01/09/2015","04:50","575-03","Burglary","500 W GREEN ST ,URBANA,IL","40.110743","-88.213329"
"8",389895,"01/09/2015","21:45","577-05","Burglary","1600 HUNTER ST ,URBANA,IL","40.103872","-88.188484"
"9",389954,"01/12/2015","10:47","546-02","Burglary","1300 N LINCOLN AVE ,URBANA,IL","40.1332712","-88.2196384"
"10",390023,"01/14/2015","08:00","606-01","Burglary","1600 E FLORIDA AV ,URBANA,IL","40.0983788064076","-88.1897802208819"
"11",390090,"01/16/2015","13:00","577-11","Burglary","2500 PRAIRIE GREEN DR ,URBANA,IL","40.10505245996","-88.1732866239501"
"12",390100,"01/16/2015","17:30","547-11","Burglary","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"13",390124,"01/17/2015","12:00","577-10","Burglary","2300 E DELAWARE AV ,URBANA,IL","40.099194","-88.195737"
"14",390161,"01/18/2015","01:44","579-01","Burglary","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"15",390233,"01/20/2015","09:00","546-14","Burglary","700 W MAIN ST ,URBANA,IL","40.114184","-88.215922"
"16",390253,"01/20/2015","16:00","577-10","Burglary","1600 BERMUDA DR ,URBANA,IL","40.099527","-88.179228"
"17",390260,"01/20/2015","16:30","546-14","Burglary","400 W MAIN ST ,URBANA,IL","40.113338","-88.212193"
"18",390281,"01/21/2015","00:01","577-10","Burglary","1500 GREENRIDGE DR ,URBANA,IL","40.103155","-88.1773189"
"19",390417,"01/24/2015","15:40","577-05","Burglary","1400 S LIERMAN AVE ,URBANA,IL","40.1026713277572","-88.1885098706914"
"20",390421,"01/24/2015","18:30","576-11","Burglary","800 E MICHIGAN AVE ,URBANA,IL","40.1016785383365","-88.1989369638243"
"21",390422,"01/24/2015","19:30","577-06","Burglary","1100 LANORE DR ,URBANA,IL","40.103697","-88.186492"
"22",390436,"01/25/2015","01:30","576-01","Burglary","200 S RACE ST ,URBANA,IL","40.090906","-88.209523"
"23",390682,"02/01/2015","03:11","547-11","Burglary","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"24",390691,"02/01/2015","15:00","577-08","Burglary","1500 E FLORIDA AV ,URBANA,IL","40.098455","-88.190567"
"25",390720,"02/02/2015","18:00","577-06","Burglary","1900 WEAVER ST ,URBANA,IL","40.104313","-88.184545"
"26",390854,"02/05/2015","22:45","605-08","Burglary","2000 PHILO RD ,URBANA,IL","40.0947610251256","-88.1905897487437"
"27",391322,"02/17/2015","14:47","577-07","Burglary","2200 E COUNTRY SQUIRE DR ,URBANA,IL","40.102857105058","-88.1789274352944"
"28",391378,"02/18/2015","15:00","577-05","Burglary","1600 IVANHOE WY ,URBANA,IL","40.1022342889024","-88.1885117781901"
"29",391665,"02/26/2015","10:00","546-07","Burglary","1200 N LINCOLN AVE ,URBANA,IL","40.1332712","-88.2196384"
"30",391697,"02/27/2015","09:00","576-16","Burglary","1400 E PENNSYLVANIA AV ,URBANA,IL","40.0993531759526","-88.1920421099669"
"31",391723,"02/28/2015","00:01","635-02","Burglary","1800 GALENA ST ,URBANA,IL","40.081928","-88.185117"
"32",391794,"03/01/2015","18:30","606-03","Burglary","2500 PHILO RD ,URBANA,IL","40.08606515","-88.1873468510269"
"33",391944,"03/04/2015","21:51","579-01","Burglary","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"34",392056,"03/07/2015","16:10","577-05","Burglary","1300 IVANHOE WY ,URBANA,IL","40.102434","-88.188947"
"35",392068,"03/07/2015","23:00","606-01","Burglary","1700 E FLORIDA AV ,URBANA,IL","40.098355","-88.188683"
"36",392132,"03/09/2015","16:30","579-01","Burglary","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
