"","field_1","date","time","geo_code","crime_cate","address","latitude","longitude"
"1",432445,"01/01/2018","03:25","547-13","Accident","1200 E UNIVERSITY AV ,URBANA,IL","40.115884","-88.190801"
"2",432446,"01/01/2018","03:25","547-13","Accident","1200 E UNIVERSITY AV ,URBANA,IL","40.115884","-88.190801"
"3",432455,"01/01/2018","16:26","576-06","Accident","1 S ANDERSON ST ,URBANA,IL","40.097736","-88.200028"
"4",432456,"01/01/2018","16:26","576-06","Accident","1 S ANDERSON ST ,URBANA,IL","40.097736","-88.200028"
"5",432457,"01/01/2018","16:26","576-06","Accident","1 S ANDERSON ST ,URBANA,IL","40.097736","-88.200028"
"6",432458,"01/01/2018","16:26","576-06","Accident","1 S ANDERSON ST ,URBANA,IL","40.097736","-88.200028"
"7",432485,"01/02/2018","17:57","546-06","Accident","1 FAIRVIEW AV ,URBANA,IL","40.120051","-88.221725"
"8",432499,"01/03/2018","10:48","546-10","Accident","1 CHURCH ST ,URBANA,IL","40.118295","-88.216613"
"9",432500,"01/03/2018","10:48","546-10","Accident","1 CHURCH ST ,URBANA,IL","40.118295","-88.216613"
"10",432501,"01/03/2018","10:48","546-10","Accident","1 CHURCH ST ,URBANA,IL","40.118295","-88.216613"
"11",432513,"01/03/2018","14:04","547-08","Accident","1 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"12",432514,"01/03/2018","14:04","547-08","Accident","1 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"13",432557,"01/05/2018","12:04","547-08","Accident","1 E UNIVERSITY AV ,URBANA,IL","40.1162425","-88.2062111"
"14",432559,"01/05/2018","15:17","605-06","Accident","1 E MUMFORD DR ,URBANA,IL","40.090677","-88.196962"
"15",432588,"01/07/2018","08:08","576-12","Accident","1100 PHILO RD ,URBANA,IL","40.1037486557042","-88.1918443138485"
"16",432589,"01/07/2018","08:08","576-12","Accident","1100 PHILO RD ,URBANA,IL","40.1037486557042","-88.1918443138485"
