"","field_1","date","time","geo_code","crime_cate","address","result_num","osm_id","display_na","category","type","latitude","longitude"
"65",354970,"11/03/2012","12:00","575-04","Sex Offenses","400 W SPRINGFIELD AVE ,URBANA,IL",0,5339010,"West Springfield Avenue, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, United States of America","highway","tertiary","40.112804","-88.2177181"
"66",356400,"12/11/2012","14:00","605-03","Sex Offenses","1800 S COTTAGE GROVE AV ,URBANA,IL",0,5338913,"1800, South Cottage Grove Avenue, Middle Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.094839","-88.194727"
"67",357126,"01/01/2013","00:01","547-03","Sex Offenses","1100 N CUNNINGHAM ,URBANA,IL",0,5330370,"1100, North Cunningham Avenue, Urbana, Champaign County, Illinois, 61802, United States of America","place","house","40.123879","-88.200984"
"68",357338,"01/07/2013","15:00","575-06","Sex Offenses","500 S RACE ,URBANA,IL",0,4049510289,"Urbana First United Methodist Church, 304, South Race Street, West Urbana, Urbana, Champaign County, Illinois, 61801, United States of America","amenity","place_of_worship","40.110438","-88.2082507"
"69",357382,"01/08/2013","23:00","546-08","Sex Offenses","1200 W BESLIN ,URBANA,IL",0,5337284,"West Beslin Street, Urbana, Champaign County, Illinois, 61801, USA","highway","tertiary","40.120259","-88.227152"
"70",358339,"02/06/2013","08:00","576-09","Sex Offenses","1000 S RACE ST ,URBANA,IL",0,5331329,"1000, South Race Street, West Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.104403","-88.20954"
"71",358816,"02/19/2013","15:18","546-07","Sex Offenses","1200 N COLER AVE ,URBANA,IL",0,342586097,"1200, North Coler Avenue, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.123827","-88.21569"
"72",359503,"03/10/2013","09:55","577-11","Sex Offenses","2400 PRAIRIE GREEN DR ,URBANA,IL",0,5336773,"2400, Prairie Green Drive, Praire Green Apartments, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.105108","-88.176341"
"73",360089,"03/28/2013","02:00","575-03","Sex Offenses","500 W ELM ST ,URBANA,IL",0,5340358,"West Elm Street, West Urbana, Urbana, Champaign County, Illinois, 61801, United States of America","highway","tertiary","40.1115916","-88.2083399"
"74",360231,"04/01/2013","00:25","605-02","Sex Offenses","1700 S VINE ST ,URBANA,IL",0,5341486,"1700, South Vine Street, Middle Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.098204","-88.204796"
"75",360234,"04/01/2013","00:25","605-02","Sex Offenses","1700 S VINE ST ,URBANA,IL",0,5341486,"1700, South Vine Street, Middle Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.098204","-88.204796"
"76",360823,"04/17/2013","21:52","576-06","Sex Offenses","300 E ILLINOIS ST ,URBANA,IL",0,614261357,"300, East Illinois Street, Historic East Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.109354","-88.204763"
"77",360866,"04/19/2013","15:00","576-09","Sex Offenses","1000 S RACE ST ,URBANA,IL",0,5331329,"1000, South Race Street, West Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.104403","-88.20954"
"78",361293,"04/30/2013","18:30","605-04","Sex Offenses","1800 PHILO RD ,URBANA,IL",0,5338234,"1800, Philo Road, Middle Urbana, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.0965722418426","-88.1906054967648"
"79",362858,"06/10/2013","00:01","577-05","Sex Offenses","1200 S LIERMAN AV ,URBANA,IL",0,5336624,"1200, South Lierman Avenue, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.1033403894373","-88.1885321082508"
"80",363840,"06/28/2013","15:00","577-07","Sex Offenses","2200 LANTERN HILL DR ,URBANA,IL",0,5336535,"2200, Lantern Hill Drive, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.1044306655268","-88.1792214825151"
"81",363880,"06/29/2013","01:28","546-11","Sex Offenses","100 W PARK ST ,URBANA,IL",0,142289617,"West Park Street, Urbana, Champaign County, Illinois, 61801, United States of America","highway","residential","40.1173712","-88.2173828"
"82",364594,"07/16/2013","00:01","605-13","Sex Offenses","2400 PROVINE CR ,URBANA,IL",0,5341827,"2400, Provine Circle, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.085488","-88.202992"
"83",364637,"07/17/2013","01:20","547-11","Sex Offenses","400 N VINE ST ,URBANA,IL",0,5334330,"400, North Vine Street, West Urbana, Urbana, Champaign County, Illinois, 61802, United States of America","place","house","40.1146467652826","-88.2049457661981"
"84",365302,"08/01/2013","12:00","577-11","Sex Offenses","1900 N CUNNINGHAM ,URBANA,IL",0,5011854331,"Urbana Boulders, 1502, North Cunningham Avenue, Urbana, Champaign County, Illinois, 61802, United States of America","leisure","fitness_centre","40.1259985","-88.1989947"
"85",365770,"08/11/2013","00:01","605-08","Sex Offenses","1200 MITCHEM ,URBANA,IL",0,5344440,"1200, Mitchem Drive, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.0923440120398","-88.1941481592896"
"86",366457,"08/23/2013","12:00","546-15","Sex Offenses","200 N RACE ,URBANA,IL",0,143324749,"South Race Street, West Urbana, Urbana, Champaign County, Illinois, 61802, USA","highway","secondary","40.090906","-88.209523"
"87",366969,"08/31/2013","12:00","546-07","Sex Offenses","900 N BUSEY AV ,URBANA,IL",0,5337841,"900, North Busey Avenue, Urbana, Champaign County, Illinois, 61801, United States of America","place","house","40.12021","-88.216847"
"88",367418,"09/09/2013","16:00","576-04","Sex Offenses","200 HARTLE AV ,URBANA,IL",0,5336783,"200, Hartle Avenue, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.1117278353928","-88.192132876481"
"89",368125,"09/19/2013","17:00","547-02","Sex Offenses","1300 CUNNINGHAM AV ,URBANA,IL",0,5340026,"Cunningham Avenue, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, USA","highway","residential","40.115082","-88.207283"
"90",370412,"10/30/2013","22:00","547-02","Sex Offenses","1 UNKNOWN ,URBANA,IL",0,153734970,"Urbana, Wabash County, Indiana, 46990, USA","place","hamlet","40.8983773","-85.7927634"
"91",371033,"11/12/2013","14:32","575-08","Sex Offenses","1 W NEVADA ST ,URBANA,IL",0,175621699,"Nevada Building Computer Lab, 1203 1/2, West Nevada Street, Urbana, Champaign County, Illinois, 61801, USA","building","yes","40.1055461","-88.2244505928537"
"92",373264,"01/03/2014","12:00","577-05","Sex Offenses","1200 LIERMAN ,URBANA,IL",0,5336624,"1200, South Lierman Avenue, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.1033403894373","-88.1885321082508"
"93",373349,"01/06/2014","12:00","577-07","Sex Offenses","2200 E COUNTRY SQUIRE DR ,URBANA,IL",0,5327671,"2200, Country Squire Drive, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.102857105058","-88.1789274352944"
"94",374638,"02/08/2014","20:30","575-03","Sex Offenses","400 S BUSEY AV ,URBANA,IL",0,5340374,"400, South Busey Avenue, West Urbana, Urbana, Champaign County, Illinois, 61801, United States of America","place","house","40.109652","-88.21761"
"95",375838,"03/09/2014","09:46","577-10","Sex Offenses","1500 S SMITH RD ,URBANA,IL",0,5336151,"1500, South Smith Road, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.0996824992972","-88.1759139109831"
"96",376645,"03/28/2014","23:00","577-10","Sex Offenses","1500 S SMITH RD ,URBANA,IL",0,5336151,"1500, South Smith Road, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.0996824992972","-88.1759139109831"
"97",379185,"05/24/2014","12:00","576-05","Sex Offenses","800 S WALNUT ST ,URBANA,IL",0,5327527,"800, South Walnut Street, West Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.106391","-88.206073"
"98",379528,"06/02/2014","06:00","546-10","Sex Offenses","800 N LINCOLN AVE ,URBANA,IL",0,179670969,"800, North Lincoln Avenue, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, United States of America","place","house","40.119286","-88.219317"
"99",380599,"06/21/2014","22:15","518-05","Sex Offenses","900 KILLARNEY ,URBANA,IL",0,5335849,"900, West Killarney Street, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.132503","-88.221189"
"100",380604,"06/21/2014","23:00","518-05","Sex Offenses","900 KILLARNEY ,URBANA,IL",0,5335849,"900, West Killarney Street, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.132503","-88.221189"
"101",381216,"07/01/2014","12:00","546-11","Sex Offenses","1400 N BROADWAY AV ,URBANA,IL",0,286485667,"1400, North Broadway Avenue, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.125937","-88.2076"
"102",382852,"07/31/2014","12:30","605-07","Sex Offenses","900 COLORADO AV ,URBANA,IL",0,5338248,"Colorado Avenue, Urbana, Champaign County, Illinois, 61801, USA","highway","residential","40.0946784","-88.202592"
"103",384634,"09/06/2014","18:03","576-16","Sex Offenses","1400 E MICHIGAN AV ,URBANA,IL",0,5332210,"1400, East Michigan Avenue, Middle Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.101742","-88.1918539851788"
"104",385245,"09/17/2014","15:19","606-03","Sex Offenses","2500 PHILO RD ,URBANA,IL",0,145821486,"Meijer, 2500, Philo Road, Middle Urbana, Urbana, Champaign County, Illinois, 61802, USA","shop","supermarket","40.08606515","-88.1873468510269"
"105",385446,"09/21/2014","14:00","547-02","Sex Offenses","1300 CUNNINGHAM AV ,URBANA,IL",0,5340026,"Cunningham Avenue, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, USA","highway","residential","40.115082","-88.207283"
"106",386925,"10/22/2014","21:18","518-08","Sex Offenses","1600 N LINCOLN AV ,URBANA,IL",0,179670969,"1600, North Lincoln Avenue, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, United States of America","place","house","40.127504","-88.219418"
"107",387336,"11/01/2014","00:01","576-16","Sex Offenses","1300 E PENNSYLVANIA AVE ,URBANA,IL",0,5342027,"1300, East Pennsylvania Avenue, Middle Urbana Residential, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.099654","-88.193152"
"108",388629,"12/03/2014","20:45","576-01","Sex Offenses","300 S BROADWAY AV ,URBANA,IL",0,5836972900,"First Christian Church, 300, South Broadway Avenue, West Urbana, Urbana, Champaign County, Illinois, 61801, United States of America","amenity","place_of_worship","40.110901","-88.2067709"
"109",388711,"12/05/2014","17:00","576-09","Sex Offenses","1200 S VINE ST ,URBANA,IL",0,7375274,"1200, South Vine Street, Middle Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.1027911980791","-88.2048633929431"
"110",389689,"01/03/2015","11:30","547-01","Sex Offenses","1300 N CUNNINGHAM ,URBANA,IL",0,5330370,"1300, North Cunningham Avenue, Urbana, Champaign County, Illinois, 61802, United States of America","place","house","40.125711","-88.20016"
"111",390064,"01/15/2015","14:30","577-06","Sex Offenses","1 RAINBOW CT ,URBANA,IL",0,5339480,"1, Rainbow Court, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.10334","-88.18393"
"112",390570,"01/29/2015","03:00","605-03","Sex Offenses","1800 LARCH PL ,URBANA,IL",0,5328336,"1800, Larch Place, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.096662","-88.19701"
"113",391890,"03/03/2015","17:00","576-09","Sex Offenses","800 E KERR ,URBANA,IL",0,5339239,"800, East Kerr Avenue, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.1221356968501","-88.1993039659249"
"114",392039,"03/07/2015","01:00","605-04","Sex Offenses","1100 COLORADO AV ,URBANA,IL",0,5338248,"Colorado Avenue, Urbana, Champaign County, Illinois, 61801, USA","highway","residential","40.0946784","-88.202592"
"115",392748,"03/26/2015","16:15","605-04","Sex Offenses","1100 COLORADO AV ,URBANA,IL",0,5338248,"Colorado Avenue, Urbana, Champaign County, Illinois, 61801, USA","highway","residential","40.0946784","-88.202592"
"116",393463,"04/13/2015","00:01","518-08","Sex Offenses","1900 N LINCOLN ,URBANA,IL",0,596264513,"EcoWater Systems of Urbana, 1302, North Lincoln Avenue, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, United States of America","building","yes","40.12396915","-88.2192697244585"
"117",394556,"05/08/2015","02:25","546-15","Sex Offenses","400 W UNIVERSITY AV ,URBANA,IL",0,26289224,"400, West University Avenue, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, United States of America","place","house","40.116573","-88.210995"
"118",394588,"05/09/2015","00:01","576-02","Sex Offenses","300 S BROADWAY ,URBANA,IL",0,4764936612,"Urbana Parking Lot, Northwest Market Street, Ballard, Seattle, King County, Washington, 98107, USA","amenity","parking","47.6688172","-122.3773554"
"119",394851,"05/15/2015","12:00","576-09","Sex Offenses","1000 S RACE ST ,URBANA,IL",0,5331329,"1000, South Race Street, West Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.104403","-88.20954"
"120",395154,"05/21/2015","23:00","605-09","Sex Offenses","2100 BURLISON DR ,URBANA,IL",0,450494026,"Burlison Drive, Urbana, Champaign County, Illinois, IL 61801, USA","highway","residential","40.0925795","-88.2060805"
"121",395423,"05/27/2015","22:22","576-01","Sex Offenses","1 S BROADWAY AV ,URBANA,IL",0,5341198,"South Broadway Avenue, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, United States of America","highway","tertiary","40.1116417","-88.2073971"
"122",396163,"06/13/2015","08:07","546-01","Sex Offenses","1200 CARVER ,URBANA,IL",0,5330175,"1200, Carver Drive, Urbana, Champaign County, Illinois, 61820, USA","place","house","40.12744","-88.228322"
"123",396354,"06/17/2015","22:30","576-04","Sex Offenses","200 S COTTAGE GROVE AV ,URBANA,IL",0,5338913,"200, South Cottage Grove Avenue, Middle Urbana, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.1117140208333","-88.1956817395833"
"124",396482,"06/21/2015","16:00","546-02","Sex Offenses","1500 N LINCOLN AV ,URBANA,IL",0,564749653,"The Vineyard Church of Central Illinois, 1500, North Lincoln Avenue, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, United States of America","amenity","place_of_worship","40.1264882","-88.2178887379599"
"125",396539,"06/22/2015","21:25","577-07","Sex Offenses","1 SMITH RD ,URBANA,IL",0,13136681,"Smith Road, Glen Grove, Steuben County, New York, 14840, USA","highway","residential","42.436242","-77.162629"
"126",397007,"07/01/2015","11:20","546-11","Sex Offenses","1 UNIVERSITY AV ,URBANA,IL",0,5342987,"University Avenue, Urbana, Champaign County, Illinois, 61802, USA","highway","primary","40.113351","-88.153073"
"127",397594,"07/15/2015","19:33","577-09","Sex Offenses","1400 LINCOLNWOOD DR ,URBANA,IL",0,5338726,"1400, Lincolnwood Drive, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.101586","-88.185509"
"128",398005,"07/25/2015","14:30","546-15","Sex Offenses","300 N ORCHARD ST ,URBANA,IL",0,5332199,"300, North Orchard Street, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.114719","-88.214613"
"129",398286,"07/31/2015","13:00","606-04","Sex Offenses","1900 PRAIRIE WINDS DR ,URBANA,IL",0,143320578,"Prairie Winds Drive, Urbana, Champaign County, Illinois, 61802, USA","highway","residential","40.0932899","-88.1853946"
"130",398597,"08/08/2015","18:39","605-08","Sex Offenses","2000 VAWTER ST ,URBANA,IL",0,5338208,"2000, Vawter Street, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.093716","-88.191751"
"131",398598,"08/08/2015","18:39","605-08","Sex Offenses","2000 VAWTER ST ,URBANA,IL",0,5338208,"2000, Vawter Street, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.093716","-88.191751"
"132",399044,"08/17/2015","03:00","576-04","Sex Offenses","100 S COTTAGE GROVE AV ,URBANA,IL",0,5338913,"100, South Cottage Grove Avenue, Middle Urbana, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.112833","-88.195698"
"133",399465,"08/25/2015","00:01","548-09","Sex Offenses","100 N SMITH RD ,URBANA,IL",0,5342943,"100, North Smith Road, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.11311","-88.178345"
"134",403682,"12/07/2015","10:47","575-03","Sex Offenses","800 W GREEN ST ,URBANA,IL",0,137918152,"800, West Green Street, West Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.110692","-88.217891"
"135",405646,"01/29/2016","00:55","577-06","Sex Offenses","2000 EASY ST ,URBANA,IL",0,5327140,"2000, Easy Street, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.1050349735875","-88.1830679765612"
"136",405807,"02/01/2016","22:58","547-02","Sex Offenses","1300 CUNNINGHAM AV ,URBANA,IL",0,5340026,"Cunningham Avenue, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, USA","highway","residential","40.115082","-88.207283"
"137",405870,"02/03/2016","14:00","577-05","Sex Offenses","1100 AUSTIN DR ,URBANA,IL",0,5331226,"1100, Austin Drive, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.103681","-88.187424"
"138",406481,"02/17/2016","14:00","546-12","Sex Offenses","1 SPRINGFIELD ,URBANA,IL",0,5339010,"West Springfield Avenue, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, United States of America","highway","tertiary","40.112804","-88.2177181"
"139",406592,"02/19/2016","20:00","576-03","Sex Offenses","200 S COTTAGE GROVE AV ,URBANA,IL",0,5338913,"200, South Cottage Grove Avenue, Middle Urbana, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.1117140208333","-88.1956817395833"
"140",407981,"03/22/2016","17:29","605-08","Sex Offenses","2000 VAWTER ST ,URBANA,IL",0,5338208,"2000, Vawter Street, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.093716","-88.191751"
"141",407982,"03/22/2016","17:29","605-08","Sex Offenses","2000 VAWTER ST ,URBANA,IL",0,5338208,"2000, Vawter Street, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.093716","-88.191751"
"142",408201,"03/29/2016","00:01","577-11","Sex Offenses","600 SUNNY LN ,URBANA,IL",0,142993041,"600, Sunny Lane, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.1065002713568","-88.1723472562814"
"143",409049,"04/21/2016","17:00","547-02","Sex Offenses","1300 N CUNNINGHAM ,URBANA,IL",0,5330370,"1300, North Cunningham Avenue, Urbana, Champaign County, Illinois, 61802, United States of America","place","house","40.125711","-88.20016"
"144",411887,"06/29/2016","11:45","606-01","Sex Offenses","1700 E FLORIDA AV ,URBANA,IL",0,143324752,"1700, East Florida Avenue, Middle Urbana, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.098355","-88.188683"
"145",411927,"06/29/2016","20:00","576-01","Sex Offenses","100 W MAIN ST ,URBANA,IL",0,15830780,"100, Main Street, Urbana, Benton County, Iowa, 52345, United States of America","place","house","42.225004","-91.872551"
"146",413103,"07/31/2016","07:00","577-05","Sex Offenses","1000 AUSTIN DR ,URBANA,IL",0,5331226,"Austin Drive, Urbana, Champaign County, Illinois, 61802, USA","highway","residential","40.103307","-88.187515"
"147",414341,"08/31/2016","19:00","577-05","Sex Offenses","1300 IVANHOE WY ,URBANA,IL",0,5339251,"1300, Ivanhoe Way, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.102434","-88.188947"
"148",415043,"09/21/2016","12:24","605-04","Sex Offenses","1800 S COTTAGE GROVE AV ,URBANA,IL",0,5338913,"1800, South Cottage Grove Avenue, Middle Urbana, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.094839","-88.194727"
"149",416175,"10/21/2016","09:15","546-08","Sex Offenses","1400 W PARK ST ,URBANA,IL",0,142439020,"OSF Heart of Mary Medical Center, 1400, West Park Street, Urbana, Champaign County, Illinois, 61801, USA","amenity","hospital","40.11819445","-88.2270700687448"
"150",416229,"10/23/2016","00:01","577-10","Sex Offenses","1400 S SMITH RD ,URBANA,IL",0,5336151,"1400, South Smith Road, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.098661","-88.175996"
"151",418791,"01/01/2017","12:00","577-07","Sex Offenses","2200 EASY ST ,URBANA,IL",0,5327140,"2200, Easy Street, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.1049744379638","-88.1794416976005"
"152",420616,"02/23/2017","12:50","546-10","Sex Offenses","800 HILL ST ,URBANA,IL",0,5339883,"800, Hill Street, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.119234","-88.217105"
"153",421313,"03/10/2017","13:00","577-05","Sex Offenses","1400 S LIERMAN AVE ,URBANA,IL",0,5336624,"1400, South Lierman Avenue, Urbana, Champaign County, Illinois, 61802, USA","place","house","40.1026713277572","-88.1885098706914"
"154",421425,"03/13/2017","10:40","605-06","Sex Offenses","600 COLORADO AV ,URBANA,IL",0,5338248,"600, Colorado Avenue, Urbana, Champaign County, Illinois, 61801, USA","place","house","40.0947722152778","-88.2000697708333"
"155",421945,"03/26/2017","19:30","547-08","Sex Offenses","600 CUNNINGHAM AV ,URBANA,IL",0,5340026,"Cunningham Avenue, Downtown Urbana, Urbana, Champaign County, Illinois, 61801, USA","highway","residential","40.115082","-88.207283"
"156",423749,"05/16/2017","19:40","546-03","Sex Offenses","1300 N LINCOLN AV ,URBANA,IL",0,320718302,"North Lincoln Avenue, Urbana, Champaign County, Illinois, 61802, USA","highway","secondary","40.1332712","-88.2196384"
"157",424634,"06/09/2017","11:30","576-16","Sex Offenses","1200 E FLORIDA ,URBANA,IL",0,5929825787,"La Urbana, 4, Puerta de Carmona, San Bartolomé, Casco Antiguo, Sevilla, Andalucía, 41004, España","amenity","restaurant","37.3892872","-5.9848551"
