"","field_1","date","time","geo_code","crime_cate","address","latitude","longitude"
"1",313827,"01/10/2010","14:00","547-13","Offenses Involving Children","1100 E MAIN ,URBANA,IL","40.1117174","-88.207301"
"2",314027,"01/15/2010","21:20","576-02","Offenses Involving Children","400 E ELM ,URBANA,IL","40.108188408448","-83.761839736384"
"3",314045,"01/16/2010","12:30","577-06","Offenses Involving Children","1 RAINBOW ,URBANA,IL","40.104107","-88.184597"
"4",314392,"01/23/2010","19:58","605-16","Offenses Involving Children","1100 WILLARD ,URBANA,IL","40.084373","-88.195301"
"5",314906,"02/05/2010","20:00","577-08","Offenses Involving Children","1500 PHILO ,URBANA,IL","40.099881","-88.190669"
"6",314952,"02/07/2010","00:28","546-08","Offenses Involving Children","1200 W HILL ,URBANA,IL","40.1117174","-88.207301"
"7",315336,"02/15/2010","15:46","519-07","Offenses Involving Children","1800 N CUNNINGHAM ,URBANA,IL","40.130030272477","-88.1977467699154"
"8",315370,"02/16/2010","11:45","547-05","Offenses Involving Children","900 N BROADWAY ,URBANA,IL","47.6688172","-122.3773554"
"9",315708,"02/24/2010","09:03","576-09","Offenses Involving Children","100 W WASHINGTON ,URBANA,IL","39.3262083","-77.3515368"
"10",316675,"03/17/2010","15:26","546-08","Offenses Involving Children","1200 W HILL ,URBANA,IL","40.1117174","-88.207301"
"11",316864,"03/21/2010","18:00","518-08","Offenses Involving Children","1900 N LINCOLN ,URBANA,IL","40.12396915","-88.2192697244585"
"12",317143,"03/29/2010","20:30","547-08","Offenses Involving Children","600 N BROADWAY ,URBANA,IL","47.6688172","-122.3773554"
"13",317242,"03/31/2010","21:09","605-04","Offenses Involving Children","1200 E FLORIDA ,URBANA,IL","37.3892872","-5.9848551"
"14",317456,"04/05/2010","04:48","519-07","Offenses Involving Children","1900 N CUNNINGHAM ,URBANA,IL","40.1259985","-88.1989947"
"15",317458,"04/05/2010","04:48","519-07","Offenses Involving Children","1900 N CUNNINGHAM ,URBANA,IL","40.1259985","-88.1989947"
"16",317462,"04/05/2010","10:40","547-01","Offenses Involving Children","1100 N BROADWAY ,URBANA,IL","47.6688172","-122.3773554"
"17",317507,"04/06/2010","16:20","577-05","Offenses Involving Children","1500 E WASHINGTON ,URBANA,IL","39.3262083","-77.3515368"
"18",317733,"04/12/2010","16:56","547-01","Offenses Involving Children","1100 N BROADWAY ,URBANA,IL","47.6688172","-122.3773554"
"19",318029,"04/18/2010","07:18","518-08","Offenses Involving Children","1900 N LINCOLN ,URBANA,IL","40.12396915","-88.2192697244585"
"20",318349,"04/26/2010","16:55","546-15","Offenses Involving Children","600 W UNIVERSITY ,URBANA,IL","40.10052135","-83.7614354501606"
"21",318448,"04/28/2010","18:00","576-02","Offenses Involving Children","1100 E SCOVILL ,URBANA,IL","40.085877","-88.195521"
"22",318975,"05/11/2010","07:24","576-05","Offenses Involving Children","100 E WASHINGTON ,URBANA,IL","39.3262083","-77.3515368"
"23",319197,"05/16/2010","17:00","576-02","Offenses Involving Children","900 N BROADWAY ,URBANA,IL","47.6688172","-122.3773554"
"24",319236,"05/17/2010","16:56","577-08","Offenses Involving Children","1100 S PHILO ,URBANA,IL","40.0902796","-88.190955225"
"25",319853,"06/02/2010","21:17","577-05","Offenses Involving Children","900 LIERMAN ,URBANA,IL","40.105544","-88.18858"
