"","date","time","geo_code","crime_category","address"
"404788","01/07/2016","04:30","547-03","Sex Offenses","1000 KERR AV ,URBANA,IL"
"405646","01/29/2016","00:55","577-06","Sex Offenses","2000 EASY ST ,URBANA,IL"
"405807","02/01/2016","22:58","547-02","Sex Offenses","1300 CUNNINGHAM AV ,URBANA,IL"
"405870","02/03/2016","14:00","577-05","Sex Offenses","1100 AUSTIN DR ,URBANA,IL"
"406369","02/15/2016","12:00","605-16","Sex Offenses","1400 SCOVILL ST ,URBANA,IL"
"406481","02/17/2016","14:00","546-12","Sex Offenses","1 SPRINGFIELD ,URBANA,IL"
"406592","02/19/2016","20:00","576-03","Sex Offenses","200 S COTTAGE GROVE AV ,URBANA,IL"
"407981","03/22/2016","17:29","605-08","Sex Offenses","2000 VAWTER ST ,URBANA,IL"
"407982","03/22/2016","17:29","605-08","Sex Offenses","2000 VAWTER ST ,URBANA,IL"
"408201","03/29/2016","00:01","577-11","Sex Offenses","600 SUNNY LN ,URBANA,IL"
"409049","04/21/2016","17:00","547-02","Sex Offenses","1300 N CUNNINGHAM ,URBANA,IL"
"411887","06/29/2016","11:45","606-01","Sex Offenses","1700 E FLORIDA AV ,URBANA,IL"
"411927","06/29/2016","20:00","576-01","Sex Offenses","100 W MAIN ST ,URBANA,IL"
"413103","07/31/2016","07:00","577-05","Sex Offenses","1000 AUSTIN DR ,URBANA,IL"
"414341","08/31/2016","19:00","577-05","Sex Offenses","1300 IVANHOE WY ,URBANA,IL"
"415043","09/21/2016","12:24","605-04","Sex Offenses","1800 S COTTAGE GROVE AV ,URBANA,IL"
"415531","10/03/2016","16:10","575-11","Sex Offenses","1 BUSEY AV ,URBANA,IL"
"416175","10/21/2016","09:15","546-08","Sex Offenses","1400 W PARK ST ,URBANA,IL"
"416229","10/23/2016","00:01","577-10","Sex Offenses","1400 S SMITH RD ,URBANA,IL"
"417158","11/15/2016","13:05","575-01","Sex Offenses","1 GREEN ST ,URBANA,IL"
